Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
The Royal Palace,"Chinese, Mughlai, Tandoor, Biryani",4.0,,₹300 FOR TWO,
Taco Bell,Mexican,,3.8,₹300 FOR TWO,40% off | Use TRYNEW
AMMA CHETHI  BHOJANAM,Indian,,3.9,₹200 FOR TWO,20% off | Use PARTY
Suprabhat Tiffins,"South Indian, North Indian",4.1,,₹300 FOR TWO,FLAT100 off | Use FLATDEAL
10D Biryani Express,"Kebabs, Biryani, Indian",4.4,,₹500 FOR TWO,FLAT125 off | Use FLATDEAL
Zomoz - The Momo Company,"Tibetan, Chinese, Fast Food",4.3,,₹250 FOR TWO,40% off | Use TRYNEW
Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",4.0,,₹300 FOR TWO,Get every item under 99
Mandava Curry Express,Indian,,3.6,₹200 FOR TWO,
Shah Ghouse Spl Shawarma,Arabian,,3.9,₹250 FOR TWO,30% off | Use TRYNEW
TTT juice center,Beverages,4.4,,₹150 FOR TWO,30% off | Use TRYNEW
KS Bakers,"Bakery, Pizzas, Desserts, Snacks, Fast Food",4.1,,₹250 FOR TWO,20% off | Use TRYNEW
Telangana Inti Ruchulu ,"South Indian, Telangana, Home Food",4.1,,₹200 FOR TWO,20% off | Use TRYNEW
Temptations,"Desserts, Beverages",4.4,,₹200 FOR TWO,40% off | Use GUILTFREE
Makers of Milkshakes,"Beverages, Desserts, Ice Cream",4.3,,₹300 FOR TWO,40% off | Use TRYNEW
FEEL IN SAUDIA SHAWARMA,"Arabian, Snacks, Fast Food",,3.8,₹100 FOR TWO,
Krupa Mess & tiffins,South Indian,,3.6,₹200 FOR TWO,50% off | Use TRYNEW
Spicy Noodles House,Chinese,,3.7,₹200 FOR TWO,10% off on all orders
MOHAMMEDI CONFECTIONERS,"Sweets, Snacks",4.1,,₹150 FOR TWO,
Chinese Pavilion,"Chinese, Asian",4.2,,₹850 FOR TWO,
Hotel Suprabhat,"South Indian, Chinese, North Indian",4.2,,₹400 FOR TWO,
Sahadeva Reddy's Juice Express,"Juices, Beverages, Desserts, Snacks",4.2,,₹250 FOR TWO,20% off | Use TRYNEW
Bakers Q,Bakery,4.0,,₹300 FOR TWO,
Shree Mahalaxmi Dhaba,Chinese,,3.4,₹200 FOR TWO,
Heavenly Biryani,"Biryani, Hyderabadi, Mughlai",,3.1,₹300 FOR TWO,50% off | Use TRYNEW
VNR Fresh Juice Center,"Beverages, Desserts",,3.5,₹200 FOR TWO,40% off | Use GUILTFREE
Rayalaseema Ruchulu,"South Indian, Biryani, Rayalaseema",4.1,,₹450 FOR TWO,20% off | Use TRYNEW
Thinduda - A Telangana Kitchen,Indian,4.0,,₹299 FOR TWO,
Sri Udupi Grand,"South Indian, Chinese, Indian",4.1,,₹300 FOR TWO,
Agrawala Sweets,"Sweets, Fast Food",4.2,,₹250 FOR TWO,10% off | Use TRYNEW
A-1 Pakoda House,"Indian, Chinese, Biryani, Snacks, Haleem",4.1,,₹200 FOR TWO,
Pranav Dhaba,"Indian, Chinese",,3.9,₹200 FOR TWO,
Al Yousufain Fast Food,Indian,4.1,,₹300 FOR TWO,25% off | Use TRYNEW
