Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Balaji Mukesh Mithai Bhandar,"Sweets, Street Food",4.3,,₹200 FOR TWO,30% off | Use TRYNEW
Shawarma Buzz,Arabian,,,₹300 FOR TWO,
TCS THE CHEESE CAKE STORY,"Bakery, Desserts",4.1,,₹200 FOR TWO,
Saara Veg,"North Indian, Punjabi, Indian, Fast Food, Chaat, Tandoor, Beverages, Chinese, De...",4.1,,₹400 FOR TWO,20% off | Use TRYNEW
Te - A Tea Tradition,"Beverages, Snacks",4.2,,₹150 FOR TWO,
Waffle House,"Cafe, Desserts, Beverages",,3.8,₹400 FOR TWO,
Punjabi Chaap Corner,"Punjabi, Snacks, Chinese",4.0,,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Ice N Spice (Hotel Inner Circle),"Indian, Chinese, Tandoor, South Indian",,3.8,₹450 FOR TWO,
Kekiz Cake Shop,"Bakery, Desserts",,3.7,₹100 FOR TWO,
Trio-La Patisserie,"Bakery, Desserts",,,₹300 FOR TWO,
True Chinese,Chinese,,,₹250 FOR TWO,
Cake & Desserts - Eclair De Cake,"Bakery, Desserts",4.1,,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
Santosh Dhaba The Original,Chinese,,3.5,₹250 FOR TWO,20% off | Use TRYNEW
Kouzina Kafe - The Food Court,"Bakery, Desserts, Ice Cream, Beverages",4.1,,₹150 FOR TWO,40% off | Use TRYNEW
Milano Bakers,"Bakery, Pizzas, Burgers, Snacks",,,₹400 FOR TWO,
SAFA MATAM AL MANDI,"Street Food, Arabian, Indian",,3.8,₹600 FOR TWO,
Indulge Ice cream By Almond House,"Bakery, Desserts, Beverages",,,₹300 FOR TWO,10% off | Use TRYNEW
 Cozy Corner by Aamantran,"Continental, Chinese, North Indian, South Indian, Beverages",,,₹550 FOR TWO,30% off | Use TRYNEW
Jai Durga maa apna taste,North Indian,4.4,,₹200 FOR TWO,10% off | Use TRYNEW
MADHU RUCHI PURE VEG RESTAURANT,"Chinese, Indian",,3.8,₹400 FOR TWO,
MADHU RUCHI PURE VEG RESTAURANT,"Chinese, Indian",,3.8,₹400 FOR TWO,
Saleem Stores The Pan Parlour,"Paan, Beverages",4.3,,₹150 FOR TWO,10% off | Use TRYNEW
SRI RAMI REDDY PURE GHEE SWEETS,"Continental, Sweets, Indian",4.5,,₹500 FOR TWO,
simply punjab,"North Indian, Indian, Biryani",,,₹200 FOR TWO,
Barfi Delite,"Indian, Continental, Fast Food, Pizzas, Chaat",4.1,,₹350 FOR TWO,
Bakers Bay,"Bakery, Snacks",,3.7,₹150 FOR TWO,
SEVEN HILLS BAKERY,"Bakery, Fast Food, Pizzas, Snacks",,,₹300 FOR TWO,
Magic Pancakes,"Desserts, Bakery, Beverages",,3.3,₹250 FOR TWO,Flat ₹125 off on orders above ₹249
Punjabi Paratha castle,Punjabi,,3.6,₹150 FOR TWO,
RASOI PURE VEG DHABA,"North Indian, Chinese, Beverages",,3.8,₹300 FOR TWO,30% off | Use TRYNEW
Reblon Pizza,"Pizzas, Beverages",5.0,,₹200 FOR TWO,
Sri Purna s kitchen,"Tandoor, Indian, Biryani, Chinese",,3.9,₹300 FOR TWO,20% off | Use TRYNEW
Sharma Ji Pav Bhaji and Fast Food,"Chinese, Biryani",,3.7,₹200 FOR TWO,
Pioneer Bakes,"Bakery, Desserts",,,₹200 FOR TWO,
China Box'd,"Snacks, Chinese",,,₹200 FOR TWO,50% off | Use TRYNEW
Sher-E-Punjab Dhaba,"Indian, Biryani",4.1,,₹350 FOR TWO,
Cakes By Ofen,"Bakery, Desserts",,,₹500 FOR TWO,
SRI RAGHAVENDRA UDIPI,"South Indian, Fast Food, Chinese",,,₹350 FOR TWO,
Balaji Hukmichand Mithai Bhandar,"Sweets, Snacks",,3.9,₹400 FOR TWO,15% off | Use TRYNEW
Srinivasa Bakery,"Bakery, Desserts, Pizzas, Snacks",,3.4,₹200 FOR TWO,
By The Bay,"Indian, Asian, Italian, European",4.4,,₹1200 FOR TWO,
Italian Affair,Chinese,4.2,,₹200 FOR TWO,
hotdog king,"Fast Food, Snacks, Biryani, Beverages",,,₹250 FOR TWO,
China Town,"Chinese, Fast Food",,,₹200 FOR TWO,
The Burger Dudes,"Beverages, Snacks, Chinese, South Indian",,,₹250 FOR TWO,30% off | Use TRYNEW
JUICE & SANDWICH POINT,"Juices, Snacks",4.0,,₹200 FOR TWO,
Hangout Food Court,"North Indian, Chinese",,,₹260 FOR TWO,
GRAND RESTAURANT,"Sweets, Biryani, Kebabs",,,₹500 FOR TWO,50% off | Use TRYNEW
Balaji Vishnu Sweet House,Sweets,,3.8,₹150 FOR TWO,
Panda Momos,"Tibetan, Asian, Beverages, Chinese",,3.8,₹200 FOR TWO,Flat ₹125 off on orders above ₹249
Fusion Biryani,"Biryani, Desserts",4.1,,₹250 FOR TWO,50% off on all orders
PACHADLU VS KAARALU,"South Indian, Indian, Andhra, Telangana, Beverages",4.1,,₹500 FOR TWO,10% off | Use TRYNEW
walima Ki Dawat,"Biryani, Hyderabadi, Mughlai",,,₹700 FOR TWO,
Toran Sweets Bakers Cafe',"Italian-American, Fast Food, Chinese, Snacks",,,₹400 FOR TWO,30% off | Use TRYNEW
B V Grand,"Pizzas, Fast Food, Indian",,,₹200 FOR TWO,
Sahadeva Reddy Pure Ghee Sweets,Sweets,4.3,,₹400 FOR TWO,20% off | Use TRYNEW
Euro Bakers,"Pizzas, Burgers, Bakery, Fast Food",,3.5,₹200 FOR TWO,10% off | Use TRYNEW
NEW Babar Bakery,"Bakery, Snacks",,,₹300 FOR TWO,
KHAANSAAB EXPRESS,"Mughlai, Indian, Biryani, Kebabs",4.4,,₹450 FOR TWO,
Narayan Upahaar,"Indian, Chinese",,,₹500 FOR TWO,
Naimat Delight,"Indian, Desserts",,3.7,₹240 FOR TWO,50% off | Use TRYNEW
Shouqeen - E - Lazeez Kitchen,Chinese,4.0,,₹250 FOR TWO,10% off | Use TRYNEW
My Unique Shop	,"Bakery, Snacks",,,₹60 FOR TWO,
AMMI'S ZAIQA,"Fast Food, Biryani, Arabian, Indian, Desserts, Beverages",,,₹400 FOR TWO,
Absolute Froot,Beverages,,3.5,₹150 FOR TWO,
Rehman Bakery,"Fast Food, Desserts",,,₹200 FOR TWO,
Pizza Pub,"Pizzas, Italian, European, Beverages",,,₹400 FOR TWO,
Bakers Kitchen,"Desserts, Pastas",,3.4,₹200 FOR TWO,40% off | Use TRYNEW
Bakers Kitchen,"Desserts, Pastas",,3.4,₹200 FOR TWO,40% off | Use TRYNEW
Agra mithai vatika,"Sweets, South Indian, Chaat, Beverages",,3.5,₹150 FOR TWO,
The Daily Meal,Indian,,,₹200 FOR TWO,50% off on all orders
OYE BURGER MONKS ,"Continental, Snacks",4.3,,₹250 FOR TWO,30% off | Use TRYNEW
Bhagyalaxmi Dhaba,North Indian,4.3,,₹550 FOR TWO,
US Live Pops,American,4.6,,₹150 FOR TWO,
Fun & Shakes,"Beverages, Pizzas, Snacks",,3.3,₹250 FOR TWO,40% off | Use TRYNEW
Idhikas cakes and snacks,"Bakery, Fast Food, Pizzas",,,₹120 FOR TWO,25% off | Use PARTY
YA SHEIKH,"Arabian, Pizzas, Mexican, Kebabs",,,₹500 FOR TWO,
Falafel Affair,Arabian,4.3,,₹200 FOR TWO,
Chandigarh Patiala Dhaba,"North Indian, Sweets",,3.8,₹350 FOR TWO,
BOSS CAKE,"Bakery, Desserts, Snacks",,,₹129 FOR TWO,
Rasna buzz,"Indian, Chinese",4.6,,₹200 FOR TWO,
MADHOUSE PIZZAS AND THICHSHAKES,"Beverages, Juices, Salads",,,₹300 FOR TWO,
Sri Santoshi Family Dhaba,Indian,,,₹200 FOR TWO,
Khichdi Central,"North Indian, Pastas, Salads",,3.4,₹400 FOR TWO,
LA MAMA,"Pizzas, Snacks, Beverages",,3.7,₹300 FOR TWO,20% off | Use TRYNEW
Mohan Dhaba,"Indian, Snacks, Chinese, Biryani, Beverages",,,₹300 FOR TWO,
Peri'S Kitchen,"Indian, Fast Food, Chinese, Pizzas, Burgers, Beverages",,,₹300 FOR TWO,
The Waffle Jar,"Waffle, Beverages",,,₹250 FOR TWO,50% off | Use TRYNEW
Roti'S Veerabhadreshwar Foods,"Indian, Thalis",,,₹200 FOR TWO,
Ministry Of Shakes,"Salads, Beverages",,,₹400 FOR TWO,
Salt & Pepper-The Central Court Hotel,"North Indian, Chinese, Continental, Seafood",4.0,,₹250 FOR TWO,50% off | Use JUMBO
New Balaji Family Dhaba	,"North Indian, Chinese, Biryani, Snacks",,,₹450 FOR TWO,
OYE PATIALA ON THE ROCKS,"Beverages, Snacks",4.8,,₹250 FOR TWO,30% off | Use TRYNEW
Vriksh Sugarcane And Fruit Juice,Beverages,,,₹200 FOR TWO,
Gourmet Ice Cream Cakes by Baskin Robbins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",4.3,,₹300 FOR TWO,30% off | Use TRYNEW
Sri Ganesh Tiffins,South Indian,4.1,,₹150 FOR TWO,
Hunger Point,"Snacks, North Indian, Italian, Chinese, Fast Food, Waffle",,3.2,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Pakka Hakka,"Chinese, Snacks",,,₹300 FOR TWO,
Scoops Ice Cream,Ice Cream,,,₹150 FOR TWO,
PALAHARAM BY ARUNA SWAGRUHA FOODS,Sweets,,3.8,₹400 FOR TWO,
ITC Fabelle Chocolates,"Bakery, Desserts",4.8,,₹600 FOR TWO,Flat ₹125 off on orders above ₹249
Kulfi & Falooda Project,"Ice Cream, Beverages, Juices, Indian, Snacks, Healthy Food",,,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
AD FOOD COURT & FAST FOOD CENTRE,"Chinese, Fast Food",,,₹180 FOR TWO,
Mehraj Naan House,Indian,,,₹60 FOR TWO,10% off | Use TRYNEW
KUCHIPUDI RESTAURANTS,"Andhra, South Indian",,,₹1000 FOR TWO,
VIP TASTY FOODS,Hyderabadi,,,₹200 FOR TWO,
Isha Snacks,Indian,,,₹200 FOR TWO,
OYE  SANDWICH MONKS,"Beverages, Snacks",4.2,,₹250 FOR TWO,30% off | Use TRYNEW
TASTE HOME,Chinese,,,₹300 FOR TWO,
PavMan,Snacks,,,₹200 FOR TWO,
Headquarters,"Continental, Italian, North Indian, Chinese",4.2,,₹1100 FOR TWO,
Azaan Frankie n Shawarma,Indian,,3.2,₹149 FOR TWO,50% off | Use TRYNEW
Agra Sweet House,"Sweets, Snacks",,,₹200 FOR TWO,
MOMO MAGIC,Chinese,,3.2,₹200 FOR TWO,
Exotic Fruit Bowl,Salads,,,₹300 FOR TWO,30% off | Use TRYNEW
TASTY GHAR,"North Indian, Chinese, Biryani",,,₹300 FOR TWO,
Bagara Khana,"North Indian, Desserts",,,₹199 FOR TWO,60% off | Use TRYNEW
Zee N Cafe,"Italian-American, Fast Food, Snacks",,,₹300 FOR TWO,
Four Ounces,"Bakery, Desserts",,,₹500 FOR TWO,
Chai toh banti hai,"Beverages, Snacks",,3.3,₹250 FOR TWO,FLAT125 off | Use FLATDEAL
Harekrishna Santoshi Dhaba,"Indian, Chinese",,,₹200 FOR TWO,
Blue Diamond,Chinese,,3.9,₹600 FOR TWO,
Mumbai Kulfi & Ice Cream,"Ice Cream, Desserts",,,₹100 FOR TWO,30% off | Use TRYNEW
SHREE BAKE & CAKES,"Pizzas, Fast Food, Snacks",,3.6,₹300 FOR TWO,
Bong Chicken,Indian,,,₹300 FOR TWO,
Blue Dragon By Mandilicious,Chinese,,3.9,₹300 FOR TWO,
The Grand Plaza Hotel,"Indian, Chinese, Tandoor, Seafood, Snacks, Desserts, Beverages",,,₹250 FOR TWO,50% off | Use TRYNEW
Burger Eats,"Snacks, Biryani",,3.5,₹300 FOR TWO,
Papaj ki rasoi,North Indian,,3.8,₹300 FOR TWO,30% off | Use TRYNEW
THE SHAKES LOUNGE,"Beverages, Ice Cream",,,₹400 FOR TWO,50% off | Use TRYNEW
Cane Blast,Juices,,,₹300 FOR TWO,
Rayalaseema Spice Kitchen,Biryani,,,₹500 FOR TWO,50% off | Use TRYNEW
Delight Delicious,"Chinese, Italian, Desserts, Chaat",,3.4,₹280 FOR TWO,
Al Kareem Hotel,"Indian, Biryani",4.2,,₹300 FOR TWO,10% off | Use TRYNEW
Jain Jalsa,"Chinese, Fast Food, Indian",4.2,,₹400 FOR TWO,10% off | Use PARTY
Bakers s street,"Fast Food, Bakery, Desserts, Beverages",,,₹450 FOR TWO,
Dhaba Estd 1986 Delhi,Indian,4.2,,₹600 FOR TWO,11% off | Use PARTY
KAPOOR'S CAFE,North Indian,4.0,,₹400 FOR TWO,
Urvasi Hotel,"North Indian, Andhra, Chinese",4.2,,₹450 FOR TWO,
Splurge - Thickshakes and Milkshakes,"Desserts, Ice Cream, Beverages",,3.5,₹300 FOR TWO,50% off | Use TRYNEW
Krispy Kreme,"Desserts, Beverages",4.3,,₹170 FOR TWO,
Agra mithai vatika,"Sweets, South Indian, Chaat, Beverages",,3.5,₹150 FOR TWO,
Louis Burger,"Burgers, Fast Food, Beverages",4.3,,₹600 FOR TWO,Flat ₹150 off on orders above ₹799
Kaati Zone Rolls & Wraps,"Fast Food, Bengali, Beverages, Desserts",,3.9,₹150 FOR TWO,40% off | Use GUILTFREE
Combo Stories By 10D Express,"Continental, Chinese",4.0,,₹400 FOR TWO,FLAT125 off | Use FLATDEAL
Prowl Foods By Tiger Shroff,"North Indian, Continental, Chinese, Snacks, Healthy Food, Salads",,3.8,₹500 FOR TWO,Flat ₹100 off on orders above ₹399
Sofra restaurent,"Biryani, Kebabs, Grill",4.3,,₹599 FOR TWO,
Hotel Svm Grand,"North Indian, Chinese, Biryani, Tandoor, Desserts",,,₹450 FOR TWO,50% off | Use TRYNEW
RICH CAKE WALA,Bakery,4.1,,₹150 FOR TWO,
BK Cafe,"American, Cafe",,,₹350 FOR TWO,
ShakeZoned,"Beverages, Desserts",4.5,,₹350 FOR TWO,
Rice++,Healthy Food,,3.6,₹100 FOR TWO,
Fries Paradise,"Snacks, Beverages",,,₹100 FOR TWO,
Mumbaichee Chaat Street,"Chaat, Street Food",,,₹250 FOR TWO,30% off | Use TRYNEW
CFC Chinese Food Court,Chinese,,3.7,₹200 FOR TWO,
Dragon Xpress,"Chinese, Asian",,,₹500 FOR TWO,
Anand Paan Shop,Indian,,,₹100 FOR TWO,
Bowl Over,"Chinese, North Indian, South Indian",,,₹299 FOR TWO,FLAT150 off | Use FLATDEAL
Deccan Spices,"Chinese, Tandoor, Indian",,,₹750 FOR TWO,
Popstar Pizza,Pizzas,,,₹300 FOR TWO,
SANDWICH FUN,"Pizzas, Snacks",,,₹200 FOR TWO,40% off | Use TRYNEW
The Imperial Sweet House By Nasreen Hussaini,Sweets,,,₹500 FOR TWO,
Chef's Corner,"Italian, Snacks, Fast Food",,,₹300 FOR TWO,
Break The Bread - Sandwiches And Burgers,"Continental, Fast Food",,3.4,₹200 FOR TWO,
Break The Bread - Sandwiches And Burgers,"Continental, Fast Food",,3.4,₹200 FOR TWO,
Brook Bite Brownie,Desserts,,,₹200 FOR TWO,
Gayathri Tiffins and Meals,South Indian,,,₹100 FOR TWO,
Tadka - Desi Food by Papaji,"North Indian, Fast Food, Snacks, Biryani, Tandoor",4.0,,₹250 FOR TWO,30% off | Use TRYNEW
TASTY AND QUICK PIZZA,"Pizzas, Fast Food, Snacks",,,₹400 FOR TWO,
Jamghat,"Snacks, Beverages, Chinese",4.7,,₹450 FOR TWO,
Mughlai Dastarkhwan Multi Cuisine Restaurant,"Indian, Mughlai, Kebabs",,,₹250 FOR TWO,FLAT250 off | Use FLATDEAL
Sriraadhe Vadpav,Indian,,,₹195 FOR TWO,
Makhanwala,"Indian, North Indian, Kebabs, Mughlai, Biryani, Thalis, Afghani, Home Food, Gril...",,3.8,₹400 FOR TWO,
AADYA'S CLOUD KITCHEN,"Chinese, Arabian, Snacks",,,₹200 FOR TWO,
Garam Bucket Biryani,"Biryani, Snacks",,,₹309 FOR TWO,
HANGOUT ADDA,"Arabian, Fast Food, Snacks, Chinese",,,₹400 FOR TWO,
The Shawarma Daddy,"Arabian, Continental, Snacks",,,₹150 FOR TWO,
Cuppa The Kitchen,"Chinese, North Indian, Snacks",,3.6,₹220 FOR TWO,15% off | Use TRYNEW
JAI BHAVANI SPICY HUT FAST FOOD,Chinese,,,₹200 FOR TWO,
Zaika Bites,Indian,,3.6,₹300 FOR TWO,
Signature Juice And Grill Station,"Juices, Beverages, Fast Food, Snacks, Desserts",,,₹450 FOR TWO,
esthio,"Bakery, Pizzas, Fast Food",,,₹500 FOR TWO,30% off | Use TRYNEW
The shawarma'S Spot	,"Arabian, Snacks",,,₹300 FOR TWO,30% off | Use TRYNEW
Amul Top Spin,"Italian, Juices",,,₹200 FOR TWO,
Spicy Hot Bucket Biryani,"Indian, Chinese, Biryani",,,₹300 FOR TWO,
Rekha's Kitchen,"Indian, Biryani",,,₹500 FOR TWO,
Momo Crave by AV s Smokebox,"Chinese, Snacks",,,₹350 FOR TWO,20% off | Use TRYNEW
Bachchu s Chaat by Phulkaas,"Chaat, Snacks",,3.7,₹200 FOR TWO,
IGP Cakes,"Desserts, Bakery, Sweets",,,₹299 FOR TWO,
Dilli De'Parathe,"Indian, Beverages",,,₹300 FOR TWO,
Khaathwik's Kitchen,"North Indian, Chinese, Biryani, Fast Food",,,₹300 FOR TWO,
Tasty Momos,Indian,,3.8,₹200 FOR TWO,20% off | Use TRYNEW
Rasa by Ashoka,"North Indian, Biryani, Desserts, Ice Cream, Snacks",,,₹500 FOR TWO,
MAMA O PIZZA,"Pizzas, Fast Food, Burgers",,,₹200 FOR TWO,20% off | Use PARTY
JS Fast Food,"North Indian, Indian, Snacks, Beverages",,,₹250 FOR TWO,
Avani Kitchen (Pure Veg),Indian,,,₹390 FOR TWO,
Mahankali Jalebi Wala,"Sweets, Snacks",,,₹100 FOR TWO,
Burger fun,"Pizzas, Snacks, Beverages",,3.4,₹200 FOR TWO,40% off | Use TRYNEW
Just Bake,Bakery,,,₹600 FOR TWO,
YA SHEIKH CAFE,"Snacks, Indian, Pizzas",,,₹200 FOR TWO,
Jalpoori,"Chaat, Indian, Juices",,3.0,₹200 FOR TWO,
Kasuall,"North Indian, Indian, South Indian, Chinese, Tandoor",,,₹800 FOR TWO,
7 Spice,"North Indian, Mughlai, Chinese",,,₹250 FOR TWO,
Surprise India - Cakes & Desserts,"Bakery, Desserts",,3.7,₹300 FOR TWO,50% off | Use TRYNEW
HUSSAIN FOODS,"Chinese, Indian",,,₹300 FOR TWO,
Town Of Foodies,Chaat,,,₹200 FOR TWO,30% off | Use JUMBO
Seven Star Cafe,Indian,,,₹200 FOR TWO,
The Burrito Bowl,"Mexican, Beverages",,3.7,₹200 FOR TWO,
Melting Pot,"Chinese, North Indian",,3.6,₹400 FOR TWO,
FAMOUS FOOD COURT,"Chinese, North Indian",,,₹400 FOR TWO,
The Sandwich story,"Fast Food, Beverages",,3.0,₹250 FOR TWO,FLAT125 off | Use FLATDEAL
Bar House And Restaurant,"Indian, Chinese, Seafood, Kebabs, Biryani, Snacks",,,₹250 FOR TWO,
Bar House And Restaurant,"Indian, Chinese, Seafood, Kebabs, Biryani, Snacks",,,₹250 FOR TWO,
Butter Singh,"North Indian, Biryani, Chinese, Beverages, Kebabs, Street Food",,3.8,₹400 FOR TWO,20% off | Use TRYNEW
MASALA FLIPS,"Snacks, Chaat, Beverages",4.4,,₹200 FOR TWO,
CAFE AMLIN,"Pastas, Indian, Snacks, Italian",,,₹300 FOR TWO,
Masala Republic by Dadu's,"Indian, Snacks, Chinese, Chaat, Pizzas, Pastas",,,₹499 FOR TWO,
Svs Pure Vegetarian Restaurant	,"North Indian, South Indian, Biryani",,,₹250 FOR TWO,20% off | Use TRYNEW
Fresh juice bar,"Beverages, Juices, Desserts",,,₹99 FOR TWO,
Takeout Cafe,"Beverages, Fast Food, Chinese, Pastas, Indian, Biryani",,,₹200 FOR TWO,
Sudha darshini fast food,Chinese,4.4,,₹180 FOR TWO,
Swaad Veg,"Kebabs, Biryani, Tandoor, Snacks",,,₹500 FOR TWO,FLAT125 off | Use FLATDEAL
Kebab Klub,"Kebabs, Biryani, Tandoor, Snacks",,,₹500 FOR TWO,50% off | Use TRYNEW
Ovenfresh,Pizzas,,,₹200 FOR TWO,
Korner Slices,"Pizzas, Continental",,,₹250 FOR TWO,30% off | Use TRYNEW
Blue Sea Hotel,"Chinese, North Indian, Tandoor, Salads, Biryani, Desserts",,,₹450 FOR TWO,
Mr Delicious Wala,"North Indian, Biryani",,,₹310 FOR TWO,
Boneless ChickenWala,"Snacks, Burgers, Pastas, Desserts",,,₹300 FOR TWO,
Kadupuninda Bojanam,"South Indian, Snacks, Beverages",,,₹100 FOR TWO,10% off | Use TRYNEW
Ice N Spice (Hotel Inner Circle),"Indian, Chinese, Tandoor, South Indian",,3.8,₹450 FOR TWO,
Rayalaseema Spice Kitchen,Biryani,,,₹500 FOR TWO,50% off | Use TRYNEW
Meetnparifoods,"Italian, Continental",,3.5,₹300 FOR TWO,
Wholesale Cakes,Bakery,,3.9,₹300 FOR TWO,
Makhanwala,"Indian, North Indian, Kebabs, Mughlai, Biryani, Thalis, Afghani, Home Food, Gril...",,3.8,₹400 FOR TWO,
JS Fast Food,"North Indian, Indian, Snacks, Beverages",,,₹250 FOR TWO,
 Cozy Corner by Aamantran,"Continental, Chinese, North Indian, South Indian, Beverages",,,₹550 FOR TWO,30% off | Use TRYNEW
Cookie Man,"Desserts, Ice Cream, Bakery",,3.4,₹1000 FOR TWO,40% off | Use TRYNEW
Shanbhags Chinese Food Court,"Chinese, North Indian, Snacks",4.2,,₹300 FOR TWO,
Onesta,"Italian, Desserts, Pizzas, American, Snacks",,3.7,₹200 FOR TWO,FLAT150 off | Use FLATDEAL
Al madina,Indian,4.0,,₹100 FOR TWO,
Al - Akbar Fast Food Corner,"North Indian, Chinese",4.1,,₹200 FOR TWO,
Cakes11,"Bakery, Desserts",,3.9,₹200 FOR TWO,40% off | Use GUILTFREE
Karachi Cafe,"Indian, Beverages",4.0,,₹500 FOR TWO,20% off | Use TRYNEW
walima Ki Dawat,"Biryani, Hyderabadi, Mughlai",,,₹700 FOR TWO,
The Jaava Pot,Beverages,,,₹200 FOR TWO,
Sundaes zone,Desserts,,,₹300 FOR TWO,FLAT250 off | Use FLATDEAL
Shiva Balaji Tiffins & Fastfood,"Chinese, North Indian, Biryani",,,₹500 FOR TWO,25% off | Use TRYNEW
Burger Break,Burgers,,,₹249 FOR TWO,30% off | Use TRYNEW
Pop Pulao,Indian,,,₹200 FOR TWO,50% off on all orders
Megha pan house and tiffin centre,"South Indian, Snacks",,,₹100 FOR TWO,
Pizza & pasta kreation,"Pizzas, Italian",,,₹300 FOR TWO,
THICKSHAKE JUNCTION,Indian,,,₹220 FOR TWO,
ShakeZone,Beverages,,,₹250 FOR TWO,50% off | Use TRYNEW
Om Durga Veg Foods,"South Indian, Chinese",,3.8,₹250 FOR TWO,
Crispy Corner,"Burgers, Fast Food, Snacks, Beverages",,,₹200 FOR TWO,
AF PARADISE FOOD COURT,"Fast Food, South Indian, Chinese",,3.8,₹200 FOR TWO,
Al-Mayyam Mandi,Meat,,,₹300 FOR TWO,
GOURMET GULLY,"Continental, Salads, Italian, Pizzas, American, Pastas, Desserts",,3.9,₹200 FOR TWO,FLAT150 off | Use FLATDEAL
Sizzling Joe,"Chinese, Asian, Pastas",,,₹700 FOR TWO,
India kitchen,"South Indian, Chinese, Biryani, Thalis",,,₹400 FOR TWO,
kolhapuri thaska,"Indian, Fast Food",,3.8,₹100 FOR TWO,
1D cafe,"Italian, Fast Food",,3.7,₹200 FOR TWO,
-Vellanki fruit juices and milkshakes,"Juices, Beverages",,3.6,₹150 FOR TWO,
Maggi House,"Snacks, Fast Food, Beverages",,3.2,₹150 FOR TWO,
Jalaram Foods,"Indian, Gujarati",,,₹300 FOR TWO,
Mezzo milkshake & snack,"Beverages, Desserts, Chaat",,,₹300 FOR TWO,50% off | Use TRYNEW
GLOBAL FOOD COURT,"Indian, Chinese",,,₹200 FOR TWO,
HEALTHY HUT,"Beverages, Indian",,,₹150 FOR TWO,
Hashtag Delicious Kitchen,"Indian, North Indian, Chinese",,,₹200 FOR TWO,
Woking Street,"Pan-Asian, Chinese, Japanese, Thai",,,₹500 FOR TWO,FLAT150 off | Use FLATDEAL
Shekar's kavadi cafe,"Chinese, Biryani",,,₹250 FOR TWO,
Momo Guy,"Tibetan, Asian, Desserts",,3.5,₹200 FOR TWO,Flat ₹125 off on orders above ₹249
Class Inn,"North Indian, Chinese",,3.4,₹200 FOR TWO,
Wallonia Waffle Co.,Desserts,,3.4,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
MANDI CULTURE,"South Indian, Indian, Desserts",,,₹600 FOR TWO,
The Waffle Man (From the House Of Cookieman),"Waffle, Desserts, Ice Cream",,,₹350 FOR TWO,50% off | Use TRYNEW
Froops Natural Ice Cream,"Ice Cream, Desserts",,,₹150 FOR TWO,
Sanskari Paratha,"Biryani, North Indian, Beverages, Desserts",,3.6,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
Sandwich  Dudes,Snacks,,,₹250 FOR TWO,30% off | Use TRYNEW
Snack Lives Matter,"Snacks, Chinese",,,₹250 FOR TWO,
Bowl 99,"Indian, North Indian, South Indian",4.5,,₹200 FOR TWO,50% off on all orders
HOTEL AL KAREEM'S,"Biryani, North Indian, Chinese",,3.5,₹300 FOR TWO,
Fryeo,"Pizzas, Fast Food, Indian",,,₹350 FOR TWO,
The Original Paan & Smoothies,"Indian, Paan",4.3,,₹200 FOR TWO,
Cafe Star and Bakery,"Chinese, North Indian, Snacks",,,₹300 FOR TWO,20% off | Use TRYNEW
Fryed wings,Fast Food,,,₹250 FOR TWO,
Saakshi Biryani House,Biryani,,,₹400 FOR TWO,
House of Candy,"Desserts, Indian",,,₹400 FOR TWO,10% off | Use PARTY
EAT WITH FUN,"Indian, Pizzas",,3.1,₹250 FOR TWO,40% off | Use TRYNEW
Firangi Fried chicken,"Continental, Indian, Desserts",4.0,,₹300 FOR TWO,
Tawakkal Fast Food Center,"Chinese, Snacks",,,₹300 FOR TWO,
Muffin Magic,"Bakery, Desserts",5.0,,₹200 FOR TWO,
Mon Amour,"Desserts, Beverages, Pizzas, Chinese, North Indian",,,₹400 FOR TWO,
Husnain Cafe,"American, Pizzas",,3.4,₹160 FOR TWO,FLAT100 off | Use FLATDEAL
Lacto Nile,Bakery,,,₹150 FOR TWO,
Bhagwati Sweets And Khara	,"Sweets, Desserts",,,₹200 FOR TWO,
AR Food Corner,"Chinese, Fast Food, Biryani, Desserts",,,₹350 FOR TWO,20% off | Use TRYNEW
SRI Lakshmi restaurant and bar,"South Indian, North Indian",,3.8,₹500 FOR TWO,
M/S CAKES ONLINE,Bakery,,,₹400 FOR TWO,
Taste of Tibet,"Tibetan, Chinese, Fast Food, Asian",,3.8,₹200 FOR TWO,
Club 10 Chicken,"Chinese, Pizzas, North Indian, Beverages, Fast Food",,,₹200 FOR TWO,20% off on all orders
Malik Baker's,"Bakery, Burgers, Pizzas",,,₹200 FOR TWO,
Shawarma corner and more,"Arabian, Snacks",,,₹299 FOR TWO,30% off | Use TRYNEW
Wild West Burgers,"Burgers, Snacks",,,₹300 FOR TWO,10% off | Use TRYNEW
7 Layers Bakery And Snacks	,"Bakery, Snacks, Pizzas, Burgers, Fast Food",,,₹299 FOR TWO,
Mozzarella Dudes,"Pizzas, Snacks",,,₹500 FOR TWO,60% off | Use TRYNEW
VS Food Court,"Indian, South Indian, Snacks, Biryani, Chinese",,,₹300 FOR TWO,
Rice stories,"Chinese, Indian",,,₹300 FOR TWO,
