Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Papaji's Kitchen,North Indian,250.0,30% off | Use TRYNEW,4.2,20.0,TRYNEW
Sharmaji Pav bhaji,"Chaat, North Indian, Chinese",200.0,15% off | Use PARTY,3.9,20.0,PARTY
Sri Siddhartha Tiffins and Meals,"Beverages, South Indian",150.0,,4.4,20.0,
Venkateshwara Fast Food,"Indian, Chinese, South Indian",150.0,,4.1,20.0,
Big Bowl,"Chinese, Asian",250.0,FLAT125 off | Use FLATDEAL,3.7,20.0,FLATDEAL
Nikhils hot&spice chinees fast food,Chinese,300.0,10% off | Use PARTY,4.1,20.0,PARTY
Zam Zam Fast Food,Chinese,200.0,40% off | Use GUILTFREE,3.7,20.0,GUILTFREE
Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",400.0,,4.3,20.0,
FANCY ICE CREAM,"Ice Cream, Desserts",40.0,15% off | Use TRYNEW,4.0,20.0,TRYNEW
The Thick Shake Factory,"Beverages, American, Burgers",200.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Natural Ice Cream,"Ice Cream, Desserts",150.0,20% off | Use SWIGGYIT,4.5,20.0,SWIGGYIT
Tipsy Topsy,"Chinese, Italian, Desserts, Bakery",250.0,25% off | Use PARTY,3.8,20.0,PARTY
Biryani Culture,"Biryani, Chinese, Desserts",200.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Almond House,"Sweets, Desserts, Snacks",300.0,,4.6,20.0,
Green Bucket Biryani Ramanthapur,Biryani,450.0,,3.9,20.0,
Lassi Shop,"Juices, Ice Cream",100.0,,3.1,20.0,
TRAFFIC MANDI HOUSE,"Arabian, Indian",400.0,,3.6,20.0,
Maa Santosh Dhaba,"North Indian, Chinese",400.0,Free Green Salad on orders above ₹529,4.2,20.0,
King's Palace Family Restaurant,"Street Food, Chinese",300.0,40% off | Use TRYNEW,3.5,20.0,TRYNEW
Urban Munchies (US Pizza),"Pizzas, Beverages, Desserts",300.0,30% off | Use JUMBO,3.5,20.0,JUMBO
Nrs Nandini,South Indian,150.0,20% off | Use TRYNEW,4.3,20.0,TRYNEW
Sri Santosh Family Dhaba,Sweets,100.0,40% off | Use TRYNEW,4.1,20.0,TRYNEW
Ms mandi and shawarma,Indian,240.0,10% off | Use TRYNEW,3.7,20.0,TRYNEW
FENG SHUI LOCAL DABHA,"Bhutanese, Chinese, Tandoor",300.0,,0.0,20.0,
La Milano Pizzeria,"Pizzas, Italian, Mexican, Fast Food, Desserts",400.0,50% off | Use SPECIALS,3.8,20.0,SPECIALS
Captain Cook,"Chinese, Tandoor, Salads, Arabian",700.0,FLAT100 off | Use FLATDEAL,3.7,20.0,FLATDEAL
Bikanervala,"Sweets, North Indian, Chinese, South Indian",500.0,,4.3,20.0,
Sri Siddhi Vinayaka Tiffins and Meals,South Indian,100.0,15% off | Use PARTY,4.2,20.0,PARTY
Deccan Chef,"Haleem, Biryani, Mughlai, Chinese, Indian",150.0,Flat ₹125 off on orders above ₹249,4.1,20.0,
Juice World,Juices,150.0,20% off | Use TRYNEW,3.9,20.0,TRYNEW
Sri Sai Chat Bhandar,Chaat,100.0,10% off | Use TRYNEW,3.8,20.0,TRYNEW
Mohammedia Shawarma,"Arabian, Lebanese, Street Food",300.0,,3.8,20.0,
Tibb's Frankie,"Snacks, Indian, Fast Food",140.0,10% off | Use TRYNEW,4.2,20.0,TRYNEW
Chickpet Donne Biryani House,Biryani,400.0,15% off | Use PARTY,3.8,20.0,PARTY
The Healthy Grub,"Healthy Food, Biryani, Chinese, Beverages",300.0,50% off | Use TRYNEW,0.0,20.0,TRYNEW
Raju Gari Pulao,Biryani,300.0,30% off | Use TRYNEW,3.2,20.0,TRYNEW
CakeZone,"Bakery, Desserts, Sweets, Ice Cream",200.0,FLAT150 off | Use FLATDEAL,4.2,20.0,FLATDEAL
Black Pearl - Hotel Central Park,"North Indian, Chinese, Indian",300.0,50% off | Use TRYNEW,3.7,20.0,TRYNEW
Scoops,"Ice Cream, Desserts, Beverages",200.0,40% off | Use GUILTFREE,4.5,20.0,GUILTFREE
Fruitfull,Healthy Food,150.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
HARSHA DELUXE MESS,Indian,400.0,,3.8,20.0,
Balaji Mithai bhandar,Sweets,300.0,,4.1,20.0,
Amay Tiffin Corner (Amul),South Indian,100.0,30% off | Use TRYNEW,4.0,20.0,TRYNEW
Grand Bavarchi Restaurant,"Biryani, Chinese, North Indian, Mughlai",300.0,,3.6,20.0,
Sattipandu Biryani,Biryani,350.0,20% off | Use TRYNEW,3.4,20.0,TRYNEW
Graduate's Arabian Mandi,Indian,450.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Apoorva mess,North Indian,300.0,15% off | Use PARTY,4.0,20.0,PARTY
Bhagmati Biryani,"Biryani, Telangana",250.0,15% off | Use JUMBO,3.7,20.0,JUMBO
The Royal Palace,"Chinese, Mughlai, Tandoor, Biryani",300.0,,4.0,20.0,
Taco Bell,Mexican,300.0,40% off | Use TRYNEW,3.8,20.0,TRYNEW
AMMA CHETHI  BHOJANAM,Indian,200.0,20% off | Use PARTY,3.9,20.0,PARTY
Suprabhat Tiffins,"South Indian, North Indian",300.0,FLAT100 off | Use FLATDEAL,4.1,20.0,FLATDEAL
10D Biryani Express,"Kebabs, Biryani, Indian",500.0,FLAT125 off | Use FLATDEAL,4.4,20.0,FLATDEAL
Zomoz - The Momo Company,"Tibetan, Chinese, Fast Food",250.0,40% off | Use TRYNEW,4.3,20.0,TRYNEW
Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",300.0,Get every item under 99,4.0,20.0,
Mandava Curry Express,Indian,200.0,,3.6,20.0,
Shah Ghouse Spl Shawarma,Arabian,250.0,30% off | Use TRYNEW,3.9,20.0,TRYNEW
TTT juice center,Beverages,150.0,30% off | Use TRYNEW,4.4,20.0,TRYNEW
KS Bakers,"Bakery, Pizzas, Desserts, Snacks, Fast Food",250.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Telangana Inti Ruchulu ,"South Indian, Telangana, Home Food",200.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Temptations,"Desserts, Beverages",200.0,40% off | Use GUILTFREE,4.4,20.0,GUILTFREE
Makers of Milkshakes,"Beverages, Desserts, Ice Cream",300.0,40% off | Use TRYNEW,4.3,20.0,TRYNEW
FEEL IN SAUDIA SHAWARMA,"Arabian, Snacks, Fast Food",100.0,,3.8,20.0,
Krupa Mess & tiffins,South Indian,200.0,50% off | Use TRYNEW,3.6,20.0,TRYNEW
Spicy Noodles House,Chinese,200.0,10% off on all orders,3.7,20.0,
MOHAMMEDI CONFECTIONERS,"Sweets, Snacks",150.0,,4.1,20.0,
Chinese Pavilion,"Chinese, Asian",300.0,,4.2,20.0,
Hotel Suprabhat,"South Indian, Chinese, North Indian",400.0,,4.2,20.0,
Sahadeva Reddy's Juice Express,"Juices, Beverages, Desserts, Snacks",250.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Bakers Q,Bakery,300.0,,4.0,20.0,
Shree Mahalaxmi Dhaba,Chinese,200.0,,3.4,20.0,
Heavenly Biryani,"Biryani, Hyderabadi, Mughlai",300.0,50% off | Use TRYNEW,3.1,20.0,TRYNEW
VNR Fresh Juice Center,"Beverages, Desserts",200.0,40% off | Use GUILTFREE,3.5,20.0,GUILTFREE
Rayalaseema Ruchulu,"South Indian, Biryani, Rayalaseema",450.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Thinduda - A Telangana Kitchen,Indian,299.0,,4.0,20.0,
Sri Udupi Grand,"South Indian, Chinese, Indian",300.0,,4.1,20.0,
Agrawala Sweets,"Sweets, Fast Food",250.0,10% off | Use TRYNEW,4.2,20.0,TRYNEW
A-1 Pakoda House,"Indian, Chinese, Biryani, Snacks, Haleem",200.0,,4.1,20.0,
Pranav Dhaba,"Indian, Chinese",200.0,,3.9,20.0,
Al Yousufain Fast Food,Indian,300.0,25% off | Use TRYNEW,4.1,20.0,TRYNEW
Reddy Military Hotel,"South Indian, Hyderabadi, Chinese, North Indian, Andhra",250.0,,3.8,20.0,
BlueFox,"Biryani, North Indian, Chinese, Tandoor",300.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Landmaark Family Restaurant,"North Indian, Chinese, Mughlai, Hyderabadi, Biryani, Seafood",500.0,10% off | Use TRYNEW,3.8,20.0,TRYNEW
SVM Grand,"South Indian, North Indian, Chinese",300.0,40% off | Use TRYNEW,3.9,20.0,TRYNEW
Krispy Kreme,"Desserts, Beverages",170.0,,4.3,20.0,
Desi Kitchen,Indian,200.0,,4.0,20.0,
